id,calendar_minutes_to_first_response,business_minutes_to_first_response,calendar_minutes_to_first_close,business_minutes_to_first_close,calendar_minutes_to_last_close,business_minutes_to_last_close
263c7e9022713fa39b62ac583fd26701,780,60,5071,1471,5453,1471
af23d77bb2d304f5649da474b81fedeb,1433,713,4620,2460,4620,2460
e8b40b51ae64949c2f3bac987840f042,784,64,8360,2600,8360,2600
793a0185de6dd851e395743c8c84b939,1553,833,4741,2581,4741,2581
f2721518d728f1a359517d1e1d432424,18,18,20,20,1458,738
aa0dfd6e6b3722d485f29cb09e1a2683,14,14,1112,392,1112,392
ee02aaa6e76c087e34211df44b694123,7,7,1848,1128,1848,1128
fc7ee5d4cbb678b7f85de637ff20496d,23,23,4409,809,4409,809
618e94c101c6b0ffd3b0ac887dc9e30b,1,1,,,,
8995d903fb57323dbc6821a0aee9cfa4,26,26,117,117,80621,28781
