lang,title
af,"Kovalente_binding"
ar,"رابطة_تساهمية"
ast,"Enllaz_covalente"
az,"Kovalent_əlaqə"
be,"Кавалентная_сувязь"
bg,"Ковалентна_връзка"
bn,"সমযোজী_বন্ধন"
bs,"Kovalentna_veza"
ca,"Enllaç_covalent"
ckb,"بەندی_کوالانسی"
cs,"Kovalentní_vazba"
cy,"Bond_cofalent"
da,"Kovalent_binding"
de,"Kovalente_Bindung"
el,"Ομοιοπολικός_δεσμός"
en,"Covalent_bond"
eo,"Kovalenta_ligo"
es,"Enlace_covalente"
et,"Kovalentne_side"
eu,"Lotura_kobalente"
fa,"پیوند_کووالانسی"
fi,"Kovalenttinen_sidos"
fr,"Liaison_covalente"
gl,"Enlace_covalente"
gv,"Kiangley_cofioosagh"
he,"קשר_קוולנטי"
hi,"सहसंयोजी_आबंध"
hr,"Kovalentna_veza"
ht,"Lyezon_kovalan"
hu,"Kovalens_kötés"
id,"Ikatan_kovalen"
it,"Legame_covalente"
ja,"共有結合"
jv,"Ikatan_Kovalen"
kab,"Turza_tattekkant"
ka,"კოვალენტური_ბმა"
kk,"Коваленттік_байланыс"
km,"សម្ព័ន្ធកូវ៉ាឡង់"
ko,"공유_결합"
lt,"Kovalentinis_ryšys"
lv,"Kovalentā_saite"
mk,"Ковалентна_врска"
ml,"സഹസംയോജകബന്ധനം"
mr,"सहसंयुज_बंध"
ms,"Ikatan_kovalen"
nl,"Covalente_binding"
nn,"Kovalent_binding"
no,"Kovalent_binding"
oc,"Ligam_covalent"
pa,"ਸਹਿਯੋਜਕੀ_ਜੋੜ"
pl,"Wiązanie_kowalencyjne"
pnb,"کوویلنٹ_جوڑ"
pt,"Ligação_covalente"
ro,"Legătură_covalentă"
rue,"Ковалентна_вязба"
ru,"Ковалентная_связь"
sco,"Covalent_bond"
sh,"Kovalentna_veza"
simple,"Covalent_bond"
si,"සහසංයුජ_බන්ධනය"
sk,"Kovalentná_väzba"
sl,"Kovalentna_vez"
sq,"Lidhja_kovalente"
sr,"Ковалентна_веза"
su,"Beungkeut_kovalén"
sv,"Kovalent_bindning"
ta,"சகப்_பிணைப்பு"
th,"พันธะโคเวเลนต์"
tr,"Kovalent_bağ"
tt,"Ковалент_бәйләнеш"
uk,"Ковалентний_зв'язок"
ur,"کوویلنٹ_بونڈ"
vi,"Liên_kết_cộng_hóa_trị"
wuu,"共价键"
yi,"קאוואלענטער_בונד"
yo,"Ìsopọ̀_àjọfagbáradìmú"
zh_classical,"共價鍵"
zh_min_nan,"Kiōng-iú_kiat-ha̍p"
zh_yue,"共價鍵"
zh,"共价键"
