lang,title
af,"Oopbronsagteware"
ar,"برمجيات_مفتوحة_المصدر"
ast,"Software_de_códigu_abiertu"
bg,"Софтуер_с_отворен_код"
bn,"উন্মুক্ত-উৎসের_সফটওয়্যার"
bs,"Softver_otvorenog_koda"
ckb,"نەرمامێری_سەرچاوە_کراوە"
cs,"Otevřený_software"
el,"Λογισμικό_ανοικτού_κώδικα"
en,"Open-source_software"
eo,"Malfermkoda_programaro"
es,"Software_de_código_abierto"
et,"Avatud_lähtekoodiga_tarkvara"
fa,"نرم‌افزار_متن‌باز"
fy,"Open-source_software"
gl,"Software_de_código_aberto"
he,"קוד_פתוח"
hi,"मुक्त_स्रोत_सॉफ्टवेयर"
hu,"Nyílt_forráskódú_szoftver"
id,"Perangkat_lunak_sumber_terbuka"
is,"Opinn_hugbúnaður"
ja,"オープンソースソフトウェア"
ko,"오픈_소스_소프트웨어"
ky,"Ачык_булактуу_програмдык_камсыздоо"
la,"Programma_fontium_apertorum"
lt,"Atvirojo_kodo_programa"
ml,"ഓപ്പൺ_സോഴ്സ്_സോഫ്റ്റ്‌വെയർ"
mr,"मुक्त_स्रोत"
ms,"Perisian_sumber_terbuka"
nl,"Opensourcesoftware"
or,"ଓପନ-ସୋର୍ସ_ସଫ୍ଟୱେର"
pa,"ਖੁੱਲ੍ਹਾ-ਸਰੋਤ_ਸਾਫ਼ਟਵੇਅਰ"
pl,"Otwarte_oprogramowanie"
pt,"Software_de_código_aberto"
ro,"Software_cu_sursă_deschisă"
ru,"Открытое_программное_обеспечениеs"
cn,"Open_source"
sh,"Otvoreni_softver"
si,"විවෘත_කේත_මෘදුකාංග"
sk,"Open-source_softvér"
sl,"Odprtokodna_programska_oprema"
sq,"Softuerët_me_burim_të_hapur"
sr,"Softver_otvorenog_koda"
ta,"திறந்த_மூல_மென்பொருள்te	ఓపెన్_సోర్సు_సాఫ్ట్​వేర్"
th,"ซอฟต์แวร์โอเพนซอร์ซ"
uk,"Відкрите_програмне_забезпечення"
uz,"Ochiq_manbali_dastur"
vi,"Phần_mềm_nguồn_mở"
wuu,"开源软件"
zh_min_nan,"Khai-goân_nńg-thé"
zh,"开源软件"
